№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Время_вкл;Длительность_простоя_часы;Длительность_простоя_сек;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Осадки;Потребители;Вид_ремонта;Балансовая_принадлежность
39001;2025-08-02;110;156;06:35:00;07:31:30;0.9417;3390;Повреждение трансформатора;4963;1482;276;пасмурно;19;5.6;нет;ул. Сатпаева;аварийный;ГорЭлектроСеть
39002;2025-11-07;3;2;09:41:00;20:40:55;20.6986;74515;Отключение МТЗ (КЗ);115481;1090;412;ясно;3;0.8;нет;ул. Лермонтова;текущий;Частный
39003;2025-06-04;17;2;08:58:00;15:20:11;15.3531;55271;Повреждение опоры;137263;1544;389;облачно;28;3.0;нет;ул. Пушкина;капитальный;ГорЭлектроСеть
39004;2025-01-06;15;2;18:36:00;19:03:03;0.451;1623;Отключение МТЗ;2243;2317;146;ясно;-11;1.3;нет;Южный мкр;аварийный;Частный
39005;2025-11-14;5;8;05:24:00;23:13:06;17.8185;64146;Повреждение опоры;23118;1343;15;снегопад;-3;9.6;снег;Северный мкр;капитальный;ЖКХ
39006;2025-10-25;9;45;23:57:00;00:28:50;0.4973;1790;Наезд авто на опору;2604;449;324;гроза;2;11.0;дождь;мкр. Жастар;аварийный;Частный
39007;2025-11-23;152;178;00:36:00;12:00:50;11.414;41090;РПВ успешно;18063;329;78;пасмурно;-7;5.0;нет;ул. Валиханова;текущий;РЭС
39008;2025-12-04;152;156;23:27:00;20:20:02;20.3507;73262;Отключение МТЗ;110393;2409;247;пасмурно;-7;2.3;нет;ул. Жансугурова;аварийный;Частный
39009;2025-05-25;15;8;06:50:00;20:24:45;20.4292;73545;Повреждение трансформатора;33027;1541;41;туман;11;1.4;нет;ул. Гагарина;аварийный;Частный
39010;2025-03-24;9;8;09:44:00;20:57:22;11.223;40402;Грозовое перенапряжение;96447;2180;414;пасмурно;0;5.3;нет;ул. Абая;текущий;ГорЭлектроСеть
39011;2025-12-14;105;156;01:28:00;03:52:22;2.4063;8662;Грозовое перенапряжение;24875;2342;445;гроза;-12;14.5;дождь;ул. Лермонтова;плановый;ГорЭлектроСеть
39012;2025-01-15;3;9;07:49:00;18:41:09;10.8692;39129;Повреждение опоры;93090;1313;344;снегопад;-16;6.7;снег;мкр. Запад;капитальный;ЖКХ
39013;2025-06-09;102;178;05:40:00;06:28:25;0.8072;2905;Отключение МТЗ (КЗ);3441;427;286;облачно;32;1.7;нет;мкр. Орбита;плановый;ЖКХ
39014;2025-09-23;17;25;09:40:00;16:11:39;6.5277;23499;Падение дерева;18900;1929;87;туман;10;0.6;нет;ул. Гагарина;текущий;РЭС
39015;2025-11-04;11;9;10:32:00;12:27:30;1.9252;6930;Повреждение кабельной линии;6871;951;181;облачно;4;1.3;нет;мкр. Запад;капитальный;ЖКХ
39016;2025-02-11;158;9;11:52:00;22:18:44;10.4456;37604;Наезд авто на опору;24386;1012;106;облачно;-21;1.8;нет;ул. Толе би;капитальный;Частный
39017;2025-07-17;102;25;22:57:00;02:13:13;2.237;8053;Падение дерева;21247;1588;408;снег;20;5.9;снег;ул. Пушкина;аварийный;Частный
39018;2025-10-02;158;1;12:45:00;11:45:46;11.7795;42406;Наезд авто на опору;33804;2007;95;пасмурно;9;5.0;нет;ул. Гагарина;капитальный;Частный
39019;2025-08-03;15;8;04:00:00;05:50:17;1.8383;6617;Грозовое перенапряжение;5702;111;232;пасмурно;29;5.3;нет;Южный мкр;капитальный;Частный
39020;2025-01-01;15;178;08:05:00;09:20:51;1.2643;4551;РПВ успешно;5668;970;196;облачно;-23;4.7;нет;Северный мкр;капитальный;Частный
39021;2025-02-13;15;132;06:14:00;17:59:51;18.0143;64851;Повреждение кабельной линии;70234;1273;160;туман;-12;0.5;нет;Центральный р-н;аварийный;ЖКХ
39022;2025-01-01;11;45;21:10:00;23:02:40;1.8779;6760;Отключение МТЗ;12649;2418;259;облачно;-8;3.9;нет;ул. Сатпаева;капитальный;Частный
39023;2025-06-14;105;89;01:44:00;23:40:05;23.685;85265;Повреждение изолятора;26884;1271;31;дождь;24;6.5;дождь;промзона;аварийный;РЭС
39024;2025-01-20;101;32;17:15:00;13:04:21;13.0892;47121;Повреждение кабельной линии;67244;787;369;пасмурно;-20;3.4;нет;ул. Валиханова;плановый;ЖКХ
39025;2025-06-05;2;89;20:52:00;15:43:45;15.746;56685;Падение дерева;83030;1914;348;ясно;31;0.5;нет;ул. Толе би;текущий;Частный
39026;2025-06-27;13;199;20:00:00;21:59:31;22.0087;79231;Авария на подстанции;205740;2170;394;облачно;18;4.0;нет;мкр. Жастар;аварийный;ГорЭлектроСеть
39027;2025-10-03;2;15;12:03:00;23:59:36;11.9434;42996;Грозовое перенапряжение;29214;2343;65;дождь;3;7.5;дождь;ул. Валиханова;аварийный;ЖКХ
39028;2025-06-19;7;9;19:11:00;14:05:46;14.1129;50806;Обрыв провода;49139;487;173;снегопад;32;10.8;снег;мкр. Запад;текущий;Частный
39029;2025-11-27;15;25;21:33:00;19:17:12;19.3035;69492;Падение дерева;133487;2337;416;снегопад;-8;7.0;снег;мкр. Восток;капитальный;РЭС
39030;2025-11-09;152;25;12:01:00;19:39:31;7.6421;27511;Авария на подстанции;27622;1351;124;пасмурно;-8;3.2;нет;ул. Жырау;текущий;ЖКХ
39031;2025-12-29;9;25;02:25:00;13:14:47;10.83;38987;Плановый ремонт;53644;1799;176;снег;-5;4.2;снег;ул. Абая;плановый;РЭС
39032;2025-03-10;105;156;15:32:00;17:38:08;17.6525;63548;Наезд авто на опору;66630;1940;214;дождь;-10;5.6;дождь;ул. Валиханова;капитальный;ГорЭлектроСеть
39033;2025-04-28;11;2;07:16:00;10:25:44;3.1624;11384;Отключение МТЗ (перегруз);8084;1079;117;дождь;15;3.2;дождь;мкр. Орбита;текущий;Частный
39034;2025-01-13;5;25;16:18:00;17:00:59;0.7166;2579;Наезд авто на опору;3446;2326;208;снегопад;-18;4.3;снег;ул. Лермонтова;капитальный;ГорЭлектроСеть
39035;2025-05-13;102;45;07:33:00;23:21:17;15.8048;56897;Повреждение трансформатора;81707;442;292;облачно;10;3.3;нет;мкр. Восток;капитальный;Частный
39036;2025-05-25;102;199;18:08:00;20:38:29;20.6582;74369;Отключение МТЗ (КЗ);87786;403;312;дождь;17;6.4;дождь;ул. Лермонтова;плановый;РЭС
39037;2025-03-31;152;8;01:47:00;08:14:55;6.4653;23275;Плановый ремонт;39622;2137;332;снегопад;0;5.7;снег;мкр. Запад;капитальный;ГорЭлектроСеть
39038;2025-06-25;7;1;16:03:00;19:53:31;19.9086;71671;Отключение МТЗ (перегруз);78101;1472;216;снег;30;2.2;снег;мкр. Запад;аварийный;ГорЭлектроСеть
39039;2025-07-14;3;8;16:27:00;08:52:26;8.8906;32006;Повреждение опоры;22737;124;120;снегопад;29;6.9;снег;мкр. Восток;аварийный;Частный
39040;2025-07-30;3;67;04:49:00;05:07:45;0.3125;1125;Повреждение опоры;1872;102;348;пасмурно;31;3.8;нет;мкр. Запад;плановый;Частный
39041;2025-05-01;101;2;10:25:00;19:59:13;9.5703;34453;Повреждение опоры;27572;2396;137;снегопад;16;8.2;снег;Южный мкр;аварийный;ГорЭлектроСеть
39042;2025-02-12;102;8;21:17:00;05:40:29;5.6915;20489;Отключение МТЗ (КЗ);20897;2476;112;гроза;-14;8.1;дождь;Южный мкр;плановый;Частный
39043;2025-04-21;17;45;21:46:00;21:54:57;0.1494;537;Грозовое перенапряжение;479;1629;159;гроза;15;7.2;дождь;промзона;текущий;РЭС
39044;2025-03-14;101;8;04:23:00;11:10:22;6.7897;24442;Повреждение кабельной линии;5932;741;36;пасмурно;2;5.6;нет;ул. Пушкина;плановый;Частный
39045;2025-01-03;102;67;16:18:00;12:10:41;12.1948;43901;Падение дерева;9629;834;27;снегопад;-16;7.7;снег;ул. Лермонтова;капитальный;ГорЭлектроСеть
39046;2025-05-06;13;67;00:50:00;16:40:11;15.8366;57011;РПВ успешно;33135;1574;77;дождь;21;4.7;дождь;мкр. Восток;текущий;ЖКХ
39047;2025-12-26;2;156;04:48:00;23:33:28;23.5747;84868;Повреждение изолятора;22694;974;31;ясно;-9;2.7;нет;ул. Жансугурова;текущий;ГорЭлектроСеть
39048;2025-03-08;17;9;18:11:00;11:13:37;11.2437;40477;РПВ успешно;19146;1611;45;туман;-2;0.3;нет;ул. Лермонтова;текущий;ГорЭлектроСеть
39049;2025-02-05;158;156;00:50:00;11:55:00;11.0836;39900;РПВ успешно;61932;1565;211;снег;-10;4.2;снег;промзона;плановый;РЭС
39050;2025-03-28;7;15;23:41:00;14:24:14;14.4207;51914;Повреждение кабельной линии;29353;488;99;ясно;1;1.2;нет;мкр. Запад;текущий;ГорЭлектроСеть
39051;2025-02-22;9;25;06:07:00;20:23:49;14.2806;51409;Повреждение трансформатора;15559;1203;34;ясно;-16;1.5;нет;Северный мкр;капитальный;ГорЭлектроСеть
39052;2025-07-20;152;132;15:42:00;13:48:08;13.8191;49748;Падение дерева;42314;1042;191;дождь;20;3.1;дождь;ул. Абая;плановый;Частный
39053;2025-03-10;11;156;17:25:00;10:27:28;10.4747;37708;Повреждение опоры;50645;874;255;дождь;5;3.8;дождь;Центральный р-н;капитальный;РЭС
39054;2025-11-12;3;45;00:42:00;09:51:43;9.1622;32983;Отключение МТЗ (перегруз);48556;464;238;облачно;2;4.2;нет;ТЭЦ-2;текущий;ЖКХ
39055;2025-08-27;152;9;06:58:00;11:49:14;4.8539;17474;Отключение МТЗ (КЗ);26596;2316;220;снегопад;25;11.2;снег;ул. Жансугурова;текущий;РЭС
39056;2025-05-18;9;1;05:26:00;23:49:38;23.8441;85838;Отключение МТЗ (КЗ);119515;891;204;снегопад;15;6.3;снег;мкр. Орбита;текущий;ЖКХ
39057;2025-01-09;17;89;05:51:00;18:55:38;18.9439;68198;Грозовое перенапряжение;112641;2421;258;гроза;-10;12.4;дождь;Центральный р-н;плановый;ЖКХ
39058;2025-12-09;102;32;05:24:00;14:55:06;9.5184;34266;Повреждение кабеля;45529;720;342;туман;-9;0.1;нет;ул. Абая;аварийный;Частный
39059;2025-08-08;3;2;20:28:00;13:54:24;13.9234;50124;Грозовое перенапряжение;18288;963;28;гроза;26;10.5;дождь;ул. Валиханова;аварийный;ЖКХ
39060;2025-03-05;101;32;14:58:00;16:46:22;16.7896;60442;Грозовое перенапряжение;21010;1084;40;туман;3;1.2;нет;мкр. Жастар;плановый;РЭС
39061;2025-03-18;11;9;13:11:00;19:03:15;19.071;68655;Грозовое перенапряжение;122568;1755;277;облачно;-6;2.6;нет;мкр. Восток;капитальный;Частный
39062;2025-12-22;7;2;21:55:00;18:07:39;18.1444;65319;Грозовое перенапряжение;19692;10;54;гроза;-8;7.7;дождь;ул. Пушкина;плановый;Частный
39063;2025-03-30;152;67;08:40:00;10:29:55;1.832;6595;Обрыв провода;6010;1337;195;снег;0;2.6;снег;Центральный р-н;аварийный;Частный
39064;2025-04-24;102;2;03:41:00;10:17:12;6.6033;23772;Отключение МТЗ (перегруз);35645;124;423;пасмурно;5;4.5;нет;Северный мкр;капитальный;ГорЭлектроСеть
39065;2025-11-13;7;1;23:19:00;17:16:52;17.298;62272;Отключение МТЗ;104388;336;444;дождь;2;3.5;дождь;ул. Жырау;плановый;Частный
39066;2025-05-31;152;89;20:48:00;21:47:38;21.8107;78518;Падение дерева;99067;1519;184;туман;18;1.3;нет;ул. Гагарина;текущий;ЖКХ
39067;2025-07-06;5;156;12:54:00;14:43:24;1.8235;6564;РПВ успешно;4018;1537;86;облачно;21;3.8;нет;ул. Гагарина;капитальный;ЖКХ
39068;2025-02-02;15;32;18:17:00;21:30:49;21.5305;77509;Обрыв провода;87241;2243;209;туман;-6;1.7;нет;ул. Пушкина;аварийный;Частный
39069;2025-05-28;158;9;14:46:00;22:58:45;8.2127;29565;Отключение МТЗ;12352;2378;29;туман;13;0.5;нет;ул. Лермонтова;плановый;ЖКХ
39070;2025-10-25;7;132;01:44:00;04:38:51;2.9142;10491;Плановый ремонт;18839;1343;425;ясно;8;0.7;нет;ул. Сатпаева;аварийный;ГорЭлектроСеть
39071;2025-11-28;11;32;16:32:00;17:04:15;0.5375;1935;Грозовое перенапряжение;1746;2045;190;гроза;4;11.6;дождь;ул. Гагарина;текущий;РЭС
39072;2025-02-01;101;8;05:28:00;20:42:24;20.7235;74604;Повреждение опоры;133721;1057;286;дождь;-20;5.9;дождь;мкр. Орбита;аварийный;ЖКХ
39073;2025-10-09;105;178;16:35:00;15:01:38;15.0441;54158;Отключение МТЗ (перегруз);110582;92;362;облачно;9;2.8;нет;ул. Гагарина;плановый;РЭС
39074;2025-09-29;105;8;12:39:00;16:48:44;16.8291;60584;Повреждение изолятора;56257;480;168;снегопад;18;5.5;снег;мкр. Восток;текущий;Частный
39075;2025-02-16;9;132;08:35:00;23:09:36;14.5768;52476;Падение дерева;74088;1015;287;снегопад;-22;9.7;снег;ул. Сатпаева;капитальный;ЖКХ
39076;2025-07-05;105;67;21:12:00;12:13:16;12.2379;44056;Грозовое перенапряжение;29716;2297;75;ясно;24;3.0;нет;мкр. Запад;плановый;Частный
39077;2025-08-19;13;32;21:39:00;12:30:59;12.5331;45119;Плановый ремонт;59147;1910;260;пасмурно;30;4.5;нет;Южный мкр;плановый;ЖКХ
39078;2025-04-05;158;15;17:43:00;13:06:45;13.1294;47265;Отключение МТЗ (перегруз);65165;2479;266;гроза;11;10.9;дождь;Северный мкр;капитальный;ГорЭлектроСеть
39079;2025-12-13;102;45;20:28:00;19:03:17;19.0714;68657;РПВ успешно;139271;2289;326;дождь;-11;4.3;дождь;мкр. Жастар;аварийный;ГорЭлектроСеть
39080;2025-05-08;101;156;15:58:00;21:25:22;5.4562;19642;Авария на подстанции;11245;1174;117;ясно;14;1.6;нет;ул. Сатпаева;текущий;ЖКХ
39081;2025-06-19;13;32;17:52:00;07:24:36;7.4267;26736;Повреждение изолятора;27816;1759;220;туман;25;0.4;нет;ул. Жырау;текущий;ЖКХ
39082;2025-08-28;7;199;22:06:00;16:46:27;16.7909;60447;Отключение МТЗ;105081;2193;360;гроза;25;11.6;дождь;ул. Жансугурова;капитальный;РЭС
39083;2025-09-12;110;2;04:48:00;09:10:35;4.3764;15755;РПВ успешно;40667;2070;412;облачно;16;2.0;нет;ул. Гагарина;плановый;ЖКХ
39084;2025-11-03;102;8;06:45:00;07:33:13;0.8037;2893;Обрыв провода;1989;1475;61;снег;-2;4.4;снег;ул. Абая;аварийный;Частный
39085;2025-11-10;15;15;17:15:00;18:50:52;18.8647;67912;Повреждение кабеля;56848;546;183;снегопад;-6;9.3;снег;ул. Валиханова;плановый;Частный
39086;2025-11-15;9;45;21:03:00;20:04:02;20.0841;72302;Плановый ремонт;75341;291;170;туман;-5;1.3;нет;мкр. Восток;плановый;Частный
39087;2025-01-20;101;8;14:02:00;22:46:54;22.7986;82074;Отключение МТЗ (КЗ);75818;2238;198;дождь;-13;6.4;дождь;ул. Гагарина;аварийный;ГорЭлектроСеть
39088;2025-12-27;105;89;20:32:00;03:35:31;3.6087;12991;Наезд авто на опору;6172;739;66;снег;-8;2.7;снег;ул. Абая;капитальный;РЭС
39089;2025-11-18;105;8;18:30:00;06:58:39;6.9944;25179;Падение дерева;69866;1487;408;ясно;-4;0.3;нет;Северный мкр;аварийный;РЭС
39090;2025-09-21;9;67;21:41:00;07:41:09;7.7028;27729;Повреждение кабеля;34167;1569;165;гроза;12;6.7;дождь;ул. Толе би;текущий;РЭС
39091;2025-03-03;17;25;02:23:00;22:22:21;19.9894;71961;Повреждение опоры;111019;1928;370;пасмурно;4;5.3;нет;ул. Абая;текущий;ГорЭлектроСеть
39092;2025-08-07;5;156;00:34:00;18:49:07;18.2522;65707;Обрыв провода;151576;575;393;снегопад;30;10.1;снег;Центральный р-н;плановый;РЭС
39093;2025-03-28;7;132;19:37:00;10:09:50;10.1807;36650;Повреждение опоры;12286;94;62;снег;-10;2.4;снег;мкр. Запад;плановый;РЭС
39094;2025-12-23;5;25;09:02:00;13:44:01;4.7003;16921;Плановый ремонт;21005;889;249;снегопад;-10;8.7;снег;Центральный р-н;аварийный;ЖКХ
39095;2025-03-20;9;89;10:14:00;12:03:33;1.8259;6573;Обрыв провода;5464;1471;124;снегопад;-3;6.5;снег;мкр. Орбита;аварийный;РЭС
39096;2025-09-16;102;1;08:27:00;12:37:18;4.1718;15018;Повреждение опоры;33853;1731;320;ясно;18;2.2;нет;ул. Лермонтова;капитальный;ЖКХ
39097;2025-09-07;152;9;03:41:00;21:33:40;17.8779;64360;РПВ успешно;90976;1533;259;облачно;16;2.8;нет;Центральный р-н;текущий;ГорЭлектроСеть
39098;2025-06-10;5;178;13:32:00;22:55:48;22.9468;82608;Грозовое перенапряжение;142648;1767;300;гроза;24;9.4;дождь;ул. Лермонтова;текущий;ЖКХ
39099;2025-03-03;3;25;01:22:00;06:55:06;5.5517;19986;Грозовое перенапряжение;18517;282;181;гроза;-2;9.5;дождь;ул. Толе би;плановый;Частный
39100;2025-08-15;102;67;01:02:00;19:24:24;18.3735;66144;Повреждение трансформатора;117205;2303;298;ясно;18;0.1;нет;ул. Абая;аварийный;ЖКХ
39101;2025-10-14;102;9;18:14:00;12:53:47;12.9133;46487;Отключение МТЗ (перегруз);57186;1281;239;туман;3;1.3;нет;ул. Толе би;текущий;РЭС
39102;2025-02-12;110;132;02:03:00;22:12:09;22.2193;79989;Отключение МТЗ (перегруз);61921;663;144;туман;-14;0.7;нет;промзона;капитальный;ЖКХ
39103;2025-01-31;11;67;15:55:00;17:27:21;17.4728;62901;Повреждение кабеля;112457;277;423;дождь;-15;5.1;дождь;ТЭЦ-2;капитальный;ГорЭлектроСеть
39104;2025-08-07;105;32;08:27:00;09:13:30;0.7753;2790;Отключение МТЗ (перегруз);3119;1105;189;гроза;27;9.8;дождь;промзона;текущий;ЖКХ
39105;2025-03-07;158;89;06:35:00;22:15:43;22.2788;80203;РПВ успешно;138629;2276;223;дождь;-8;5.1;дождь;мкр. Восток;плановый;ГорЭлектроСеть
39106;2025-03-25;101;89;09:39:00;14:26:37;4.7939;17257;Авария на подстанции;6425;1414;58;ясно;-5;0.5;нет;мкр. Жастар;аварийный;Частный
39107;2025-07-18;7;156;06:24:00;10:11:27;3.7909;13647;Повреждение изолятора;18109;85;275;туман;22;1.6;нет;ТЭЦ-2;плановый;РЭС
39108;2025-05-23;102;178;01:48:00;23:05:46;21.2964;76666;Падение дерева;227930;1620;427;гроза;20;14.3;дождь;ул. Валиханова;аварийный;ГорЭлектроСеть
39109;2025-09-21;105;1;08:30:00;19:15:33;10.7592;38733;Повреждение опоры;13977;1854;44;ясно;16;0.1;нет;ул. Жырау;текущий;РЭС
39110;2025-06-03;2;8;12:28:00;18:25:27;18.4409;66387;Наезд авто на опору;63987;2239;133;ясно;29;0.0;нет;ул. Пушкина;плановый;ГорЭлектроСеть
39111;2025-07-04;9;15;20:32:00;03:59:44;4.0124;14444;Повреждение изолятора;20609;2348;196;пасмурно;31;2.7;нет;Центральный р-н;плановый;Частный
39112;2025-02-10;13;132;09:15:00;15:42:56;6.4658;23276;Грозовое перенапряжение;43737;24;372;снегопад;-21;6.0;снег;ул. Жансугурова;аварийный;ГорЭлектроСеть
39113;2025-04-04;101;8;22:01:00;06:24:28;6.4247;23128;Повреждение опоры;37198;497;367;снег;3;5.6;снег;ул. Гагарина;капитальный;Частный
39114;2025-05-03;15;1;22:57:00;04:27:22;4.4729;16102;Отключение МТЗ (КЗ);5493;147;85;гроза;13;5.4;дождь;ул. Сатпаева;аварийный;РЭС
39115;2025-08-18;9;25;23:09:00;17:38:07;17.6522;63547;Отключение МТЗ (перегруз);113131;1219;350;дождь;24;6.2;дождь;Северный мкр;капитальный;РЭС
39116;2025-11-24;105;45;13:33:00;18:02:31;4.4922;16171;Повреждение опоры;41491;2313;404;дождь;2;5.2;дождь;ул. Сатпаева;капитальный;ГорЭлектроСеть
39117;2025-09-21;101;15;17:14:00;08:13:38;8.2441;29678;Обрыв провода;12968;2311;18;снег;13;4.5;снег;ул. Жырау;аварийный;ЖКХ
39118;2025-12-12;11;89;02:14:00;20:00:44;17.7791;64004;Повреждение опоры;77901;1448;204;снег;-12;2.4;снег;ул. Гагарина;плановый;Частный
39119;2025-09-07;17;9;20:53:00;05:49:57;5.8494;21057;РПВ успешно;29555;2103;303;ясно;13;0.5;нет;ул. Валиханова;капитальный;РЭС
39120;2025-11-30;17;67;06:28:00;15:21:23;8.89;32003;Повреждение трансформатора;90667;1453;449;облачно;-2;1.6;нет;ул. Жырау;капитальный;Частный
39121;2025-12-17;9;89;18:22:00;23:51:47;23.88;85967;Грозовое перенапряжение;68557;915;141;облачно;-16;2.6;нет;промзона;плановый;РЭС
39122;2025-03-04;5;67;23:48:00;11:51:18;11.8718;42738;Падение дерева;44139;2031;111;облачно;-5;1.3;нет;мкр. Запад;аварийный;Частный
39123;2025-09-22;13;2;11:16:00;17:15:47;17.2799;62207;Повреждение изолятора;78682;1455;217;пасмурно;13;2.2;нет;мкр. Восток;аварийный;ЖКХ
39124;2025-07-12;15;32;07:22:00;19:44:07;12.3689;44527;Отключение МТЗ (перегруз);36277;1903;146;туман;30;0.4;нет;ул. Абая;текущий;ГорЭлектроСеть
39125;2025-02-17;13;89;05:35:00;14:38:14;9.054;32594;Отключение МТЗ (перегруз);8703;1175;30;туман;-5;0.2;нет;ул. Лермонтова;текущий;ЖКХ
39126;2025-12-30;11;9;17:48:00;06:17:01;6.3003;22681;Грозовое перенапряжение;34337;1287;339;гроза;-14;10.7;дождь;Южный мкр;плановый;Частный
39127;2025-11-09;152;45;06:44:00;20:07:54;13.3984;48234;Наезд авто на опору;39538;272;125;снегопад;-3;7.3;снег;ул. Пушкина;капитальный;Частный
39128;2025-06-06;7;45;10:24:00;16:14:17;5.8382;21017;Повреждение опоры;50388;1858;391;снег;22;5.9;снег;ул. Гагарина;капитальный;Частный
39129;2025-06-04;9;156;08:06:00;21:29:37;21.5105;77437;Отключение МТЗ (КЗ);11596;14;27;гроза;32;10.6;дождь;мкр. Орбита;капитальный;ГорЭлектроСеть
39130;2025-10-10;152;25;22:58:00;06:26:25;6.4572;23245;РПВ успешно;10573;2108;14;дождь;9;7.6;дождь;ул. Сатпаева;аварийный;Частный
39131;2025-03-31;11;1;09:03:00;19:41:42;19.7118;70962;Наезд авто на опору;184822;2247;444;пасмурно;-4;5.0;нет;мкр. Восток;капитальный;ГорЭлектроСеть
39132;2025-11-13;11;2;06:35:00;09:14:13;2.6536;9553;Падение дерева;21621;2413;337;снег;1;4.7;снег;ул. Сатпаева;капитальный;Частный
39133;2025-12-20;2;156;12:04:00;21:45:29;9.6916;34889;Отключение МТЗ (перегруз);29587;1757;85;туман;-10;1.9;нет;ул. Толе би;текущий;Частный
39134;2025-05-10;7;1;05:37:00;18:55:05;13.3015;47885;Авария на подстанции;65463;632;348;снегопад;13;4.7;снег;ул. Пушкина;текущий;РЭС
39135;2025-05-04;158;32;07:58:00;15:27:39;7.4943;26979;Грозовое перенапряжение;65781;190;394;гроза;25;10.6;дождь;промзона;текущий;Частный
39136;2025-03-28;17;67;05:55:00;12:18:28;6.3912;23008;Отключение МТЗ (КЗ);52029;1166;326;гроза;0;11.0;дождь;ул. Толе би;текущий;ГорЭлектроСеть
39137;2025-12-09;105;132;20:55:00;13:26:28;13.458;48448;Отключение МТЗ (КЗ);79957;1434;389;дождь;-8;7.4;дождь;мкр. Запад;аварийный;ГорЭлектроСеть
39138;2025-03-28;2;156;12:30:00;15:32:47;15.5633;56027;Отключение МТЗ;57261;1262;251;пасмурно;-1;4.8;нет;ул. Валиханова;плановый;ГорЭлектроСеть
39139;2025-12-14;5;156;07:43:00;11:44:14;4.0206;14474;Повреждение изолятора;7120;516;117;снегопад;-8;11.2;снег;ул. Пушкина;плановый;Частный
39140;2025-03-12;3;132;09:33:00;19:59:04;10.4346;37564;Обрыв провода;20023;896;86;снегопад;0;5.5;снег;ул. Гагарина;плановый;ГорЭлектроСеть
39141;2025-04-13;15;25;20:05:00;07:20:29;7.3582;26489;Повреждение изолятора;69543;1810;399;ясно;8;2.5;нет;мкр. Жастар;плановый;Частный
39142;2025-09-06;2;45;10:55:00;22:57:06;22.9686;82686;Повреждение опоры;24463;976;56;пасмурно;22;2.3;нет;мкр. Запад;текущий;РЭС
39143;2025-12-17;5;15;18:29:00;07:17:22;7.3063;26302;Обрыв провода;33281;1277;292;снегопад;-7;6.7;снег;мкр. Орбита;плановый;ГорЭлектроСеть
39144;2025-02-14;102;1;14:40:00;19:05:47;19.1132;68807;Повреждение трансформатора;110111;2031;191;туман;-14;0.5;нет;ул. Гагарина;плановый;ГорЭлектроСеть
39145;2025-11-01;7;132;20:32:00;15:58:12;15.9868;57552;Повреждение трансформатора;63197;1632;243;ясно;-5;0.9;нет;мкр. Орбита;капитальный;ГорЭлектроСеть
39146;2025-08-14;102;178;06:42:00;23:09:59;16.4665;59279;Грозовое перенапряжение;57965;1710;225;дождь;24;7.5;дождь;мкр. Орбита;текущий;Частный
39147;2025-09-05;17;2;18:59:00;23:17:07;23.3021;83887;Отключение МТЗ (перегруз);57792;2192;93;снег;11;4.9;снег;ул. Жырау;плановый;Частный
39148;2025-05-15;5;15;07:45:00;20:03:17;12.3048;44297;Повреждение изолятора;96388;1553;355;дождь;18;7.4;дождь;ул. Валиханова;текущий;ЖКХ
39149;2025-02-04;5;25;19:56:00;20:32:14;20.554;73994;РПВ успешно;77447;1866;215;дождь;-6;5.9;дождь;ул. Пушкина;текущий;ГорЭлектроСеть
39150;2025-01-05;101;132;07:57:00;17:34:14;9.6208;34634;Отключение МТЗ (КЗ);52737;230;414;снегопад;-23;9.9;снег;ул. Толе би;текущий;ЖКХ
39151;2025-11-30;110;89;20:07:00;06:01:04;6.0345;21724;Отключение МТЗ (перегруз);43397;548;440;дождь;-6;7.2;дождь;ул. Пушкина;капитальный;Частный
39152;2025-09-13;101;89;21:42:00;20:29:50;20.5139;73850;Авария на подстанции;48302;1619;113;облачно;18;4.1;нет;мкр. Восток;текущий;РЭС
39153;2025-12-29;158;199;08:43:00;19:05:09;19.1025;68769;Отключение МТЗ;61506;2405;116;снегопад;-20;7.9;снег;Центральный р-н;плановый;РЭС
39154;2025-07-12;152;9;14:18:00;18:10:00;3.8667;13920;Отключение МТЗ (КЗ);15081;1146;168;гроза;26;12.6;дождь;ул. Абая;текущий;ЖКХ
39155;2025-06-02;9;25;06:06:00;17:47:29;11.6916;42089;Плановый ремонт;90310;2136;434;облачно;30;4.0;нет;Северный мкр;плановый;Частный
39156;2025-07-30;101;15;11:15:00;22:43:46;22.7461;81886;Плановый ремонт;121977;2328;192;облачно;23;4.5;нет;ул. Валиханова;плановый;РЭС
39157;2025-03-07;13;2;05:04:00;23:15:40;18.1946;65500;Повреждение опоры;76406;1498;167;снег;-1;5.8;снег;ул. Гагарина;плановый;Частный
39158;2025-08-24;13;32;00:31:00;20:45:23;20.2399;72863;Наезд авто на опору;31230;204;77;снег;21;4.6;снег;промзона;капитальный;РЭС
39159;2025-06-26;110;199;00:35:00;09:03:42;8.4786;30522;Повреждение опоры;51055;1275;384;пасмурно;19;5.4;нет;Северный мкр;аварийный;ЖКХ
39160;2025-02-17;2;67;19:09:00;23:40:24;23.6902;85284;Отключение МТЗ (КЗ);137295;151;310;снегопад;-5;8.9;снег;Южный мкр;капитальный;Частный
39161;2025-09-17;2;89;19:33:00;17:33:03;17.5677;63243;Плановый ремонт;66892;328;298;ясно;18;2.5;нет;промзона;текущий;ГорЭлектроСеть
